"字段1"
"后勤集团通信中心关于推进“最多跑一次”改革开展EMS邮寄服务的通知 2018-06-29"
"关于推进“最多跑一次”改革，教职工因公临时出国（境）全程网上审批流程正式上线的通知 2018-06-29"
"关于进一步规范纵向科研经费支出管理的通知 2018-06-29"
"浙大科协转发中国科协科普部关于组织实施科普中国应用推广项目的通知 2018-06-29"
"温馨提示：2018年7月2日至11日本科课程夏学期期末考试 2018-06-29"
"社科院关于开展国家社科基金重大项目中期检查评估工作的通知 2018-06-28"
"“但开学风不为师”——在教学相长中推进通识核心课程 2018-06-28"
"社科院关于发布《2018年度国家法治与法学理论研究项目课题指南》及受理课题申报的公告 2018-06-28"
"社科院关于申报2018年浙江省哲学社会科学规划 “社会重大舆情调研”专项课题的通知 2018-06-28"
"关于海洋学院通过学校特别评审人员名单的公示 2018-06-28"
"研究生院关于举行多学科交叉培养专项计划博士研究生学习科研进展报告会的通知 2018-06-27"
"关于公布2018年本科教学科教协同项目的通知 2018-06-27"
"考察预告 2018-06-27"
"关于举办浙江大学创新创业教育研修班的通知 2018-06-27"
"营业用房公开招租公告（昙花庵路292-4号商铺） 2018-06-27"
"营业用房公开招租公告（昙花庵路292-1号商铺） 2018-06-27"
"营业用房公开招租公告（昙花庵路288-4号商铺） 2018-06-27"
"营业用房公开招租公告（昙花庵路288-2号商铺） 2018-06-27"
"浙江大学校长办公室关于2018年暑期有关事项安排的通知 2018-06-27"
"研究生院关于做好浙江省高等教育“十三五”第一批教学改革研究项目申报立项工作的通知 2018-06-27"
"浙江大学关于成立浙江大学健康医疗大数据国家研究院及负责人任命的通知 2018-06-27"
"浙江大学印发《浙江大学“竺可桢奖”评选办法》的通知 2018-06-27"
"浙江大学关于浙江大学立法研究院等研究机构负责人调整及事项变更的通知 2018-06-27"
"中共浙江大学委员会办公室关于调整浙江大学机关深化作风建设工作领导小组组成人员的通知 2018-06-27"
"浙江大学2017年度本省户籍就读免学费农业种养技术专业在校学生公示名单 2018-06-27"
"劳务派遣人员招聘启事（派遣至浙江大学遗传学研究所梁洪青实验室） 2018-06-27"
"浙江大学印发《浙江大学2018-2019学年校历》的通知 2018-06-26"
"关于选拔参加第十一届全国大学生创新创业年会项目的通知 2018-06-26"
"关于举行“双一流”建设专题研讨会的通知 2018-06-26"
"关于Bloomsbury collections电子图书数据库的开通试用通知  2018-06-26"
"浙江大学2018年拟录用人员名单公示（十一） 2018-06-26"
"劳务派遣人员招聘启事（派遣至浙江大学光电学院） 2018-06-26"
"劳务派遣人员招聘启事（派遣至浙江大学电气学院） 2018-06-26"
"劳务派遣人员招聘启事（派遣至浙江大学生工食品学院冯凤琴课题组） 2018-06-26"
"劳务派遣人员招聘启事（派遣至浙江大学建筑工程学院） 2018-06-26"
"劳务派遣人员招聘启事（派遣至浙江大学物理学系） 2018-06-26"
"浙江大学印发《浙江大学“百人计划（临床医学）”试行办法》的通知 2018-06-26"
"浙江大学印发《浙江大学冠名教授聘任办法（暂行）》的通知 2018-06-26"
"关于校医院2018级新生体检实习医生招募通知 2018-06-26"
"浙江大学关于成立浙江大学宁波研究院及负责人任命的通知 2018-06-26"
"面向全球！浙江大学医学院附属邵逸夫医院诚聘英才 2018-06-26"
"关于浙江大学2018级“新生之友”选配工作的通知 2018-06-26"
"关于召开2018届本科毕业生党员教育大会的通知 2018-06-26"
"社科院关于组织实施国家社会科学基金“防范化解重大风险”研究专项的通知 2018-06-26"
"浙江大学关于公布2018年6月退休人员名单的通知 2018-06-26"
"浙江大学关于教师申报教学特殊津贴的通知 2018-06-25"
"关于举办全校“教职工因公临时出国（境）网上审批2.0”  审批流程操作培训会的通知 2018-06-25"
"关于法国EDP Sciences科学出版社电子期刊数据库的开通试用通知 2018-06-25"
"中共浙江大学委员会关于表彰浙江大学先进基层党组织 优秀共产党员 优秀党务工作者的决定 2018-06-25"
"科研院转发国家自然科学基金委员会关于发布“2018年度国家自然科学基金委员会与韩国国家研究基金会合作研究项目征集指南”的通告 2018-06-25"
"关于2018届本科毕业生核对学分结算情况的通知 2018-06-25"
"浙江大学关于陈丁江等任职的通知 2018-06-25"
"研究生院关于做好浙江大学2018年夏季研究生毕业典礼暨学位授予仪式有关事项的通知 2018-06-23"
"关于公开征求《浙江大学本科生选课管理办法（征求意见稿）》意见建议的通知  2018-06-22"
"浙江大学关于吴红瑛等职务任免的通知 2018-06-22"
"本科生院关于做好2017-2018学年夏学期期末考试工作的通知 2018-06-22"
"浙江大学紫金港校区主干道路及校门建设工程跨余杭塘河桥梁设计方案 2018-06-22"
"中共浙江大学委员会 浙江大学关于成立总务处及相关机构调整的通知 2018-06-22"
"浙江大学关于陈积明等职务任免的通知 2018-06-22"
"劳务派遣人员招聘启事（派遣至浙江大学海洋学院） 2018-06-22"
"劳务派遣人员招聘启示（派遣至浙江大学医学院冷冻电镜中心） 2018-06-22"
"浙江大学关于公布2017—2018学年大学生学科竞赛获奖名单的通知 2018-06-22"
"科研院转发国家自然科学基金委员会关于发布“2019年度国家自然科学基金委员会与波兰国家科学中心合作研究项目指南”的通告 2018-06-22"
"浙江大学校长办公室关于做好学校各部门及部分直属单位第九次岗位聘任工作的通知 2018-06-22"
"浙江大学关于调整浙江大学工业控制研究所等校设研究机构负责人的通知 2018-06-22"
"关于举办浙江大学社会主义学院第八期培训班暨校民族宗教事务管理小组扩大会议的通知 2018-06-22"
"浙江大学建筑设计研究院高级专业技术人员招聘启事 2018-06-22"
"浙江大学关于李友杭任职的通知 2018-06-21"
"关于中国科学引文索引数据库（CSCI）的开通试用通知 2018-06-21"
"关于学习观看“学习新思想 千万师生同上一堂课”活动视频授课的通知 2018-06-21"
"关于正式订购MRS Online Proceedings Library（材料研究学会在线会议录）的通知 2018-06-21"
"关于召开浙江大学庆祝建党97周年大会的通知 2018-06-21"
"校园交通温馨提醒 2018-06-21"
"科研院关于召开2018年度高等学校科学研究优秀成果奖推荐工作培训会的通知 2018-06-21"
"关于“2018年浙江大学优秀辅导员”建议人选公示的通知 2018-06-21"
"关于“2018高层次留学回国人才暑期为国服务志愿团”活动的通知 2018-06-21"
"校工会关于组织2018年暑期教职工疗休养活动的通知（更新） 2018-06-21"
"关于加快财政专项经费预算执行进度的温馨提示 2018-06-20"
"关于对浙江大学高分子科学与工程学系原系主任徐志康同志离任经济责任进行审计的通告 2018-06-20"
"研究生院关于遴选博士研究生参加2019-2020年度中美富布赖特项目的通知 2018-06-20"
"关于2018年（下）全国计算机等级考试报名的通知  2018-06-19"
"关于做好2018届毕业生离校工作的通知 2018-06-19"
"科研院转发国家自然科学基金委员会关于发布“空间信息网络基础理论与关键技术重大研究计划2018年度项目申报指南”的通告 2018-06-19"
"浙江大学关于公布浙江大学第四届学生人文社会科学研究优秀成果奖获奖名单的通知 2018-06-19"
"浙江大学关于推进通识教育的若干意见 2018-06-19"
"浙江大学关于成立浙江大学农业科技发展咨询委员会及成员聘任的通知 2018-06-19"
"营业用房公开招租公告（港湾家园22幢12号、13号、14号商铺） 2018-06-19"
"营业用房公开招租公告（港湾家园21幢8号、9号商铺） 2018-06-19"
"浙江大学印发《浙江大学科研项目严重失信行为记录规定（试行）》的通知 2018-06-19"
"关于启动浙江大学新的特聘研究员岗位制度试点申请的通知 2018-06-19"
"劳务派遣人员招聘启事（派遣至浙江大学化工学院） 2018-06-19"
"关于浙江大学2017-2018学年大学生学科竞赛获奖奖励有关事项的通知 2018-06-19"
"中共浙江大学委员会办公室 浙江大学校长办公室关于调整浙江大学学生资助管理中心组成人员的通知 2018-06-15"
"浙江大学印发《浙江大学关于优化特聘研究员岗位制度试行办法》的通知 2018-06-15"
"关于召开新时代全国高等学校本科教育工作视频会议的通知 2018-06-15"
"科研院关于申报2018年度航空科学基金项目的通知 2018-06-15"
"本科生院关于2017-2018学年夏学期课堂教学质量评价工作的通知 2018-06-15"
"劳务派遣人员招聘启事（派遣至浙江大学药学院） 2018-06-15"
"校消安委关于做好夏季电气火灾防控的通知 2018-06-15"
"关于举行浙江大学2018年研究生社会实践出征仪式暨第一期“经纬实践计划”讲座的通知 2018-06-15"
"关于2018届毕业生毕业离校期间学校用印事宜的通知 2018-06-15"
"关于组织学生研习会开展暑期宣讲实践活动的通知 2018-06-15"
"社科院关于征集2019年度教育部哲学社会科学研究重大课题攻关项目选题的通知 2018-06-15"
"浙江大学关于调整各级学位评定委员会组成人员的通知 2018-06-15"
"关于举办“求是筑梦新时代”主题教育活动暨邱爱慈院士“马兰精神”报告会的通知 2018-06-15"
"社科院关于教育部人文社会科学研究一般项目2018年度中期检查工作的通知 2018-06-15"
"关于六月份校领导接待群众来访安排的通知 2018-06-14"
"浙江大学关于夏标泉等职务任免的通知  2018-06-14"
"关于上报开展进一步深化“一流管理、服务师生”主题活动计划的通知 2018-06-14"
"关于公布第二十五届浙江大学“董氏文史哲研究奖励基金”评选结果的通知 2018-06-14"
"关于对浙江大学工程师学院原常务副院长王家平同志离任经济责任进行审计的通告 2018-06-14"
"劳务派遣人员招聘启事（派遣至浙江大学信息技术中心） 2018-06-13"
"劳务派遣人员招聘启事（派遣至浙江大学医学院李兰娟院士课题组） 2018-06-13"
"关于西溪校区道闸系统改造的通知 2018-06-13"
"关于2018年6月全国外语等级考试考生的温馨提示 2018-06-13"
"关于2018年6月全国外语等级考试监考人员参加培训会的温馨提示 2018-06-13"
"关于召开省外招生工作宣传会议 暨校园开放日动员大会的通知（更新）） 2018-06-13"
"中共浙江大学委员会办公室   浙江大学校长办公室关于2018年暑期大学生社会实践活动安排的通知 2018-06-13"
"会计核算中心经费认领公告 2018-06-13"
"关于推进“最多跑一次”改革有关工作的通知 2018-06-13"
"浙江大学校长办公室印发《浙江大学校园内机动车违规处理管理细则》的通知 2018-06-13"
"科研院转发关于对国家重点研发计划政府间国际科技创新合作/港澳台科技创新合作重点专项2018年第二批项目申报指南建议征求意见的通知 2018-06-13"
"体艺部关于2018年西溪湿地“梦想小镇杯”第七届杭州中国名校龙舟竞渡索票的通知 2018-06-13"
"关于公示2018年本科教学科教协同项目的通知 2018-06-13"
"关于选拔优秀年轻干部到杭州市机关部门挂职锻炼的通知 2018-06-13"
"关于召开浙江大学2018届基层就业毕业生欢送会的通知 2018-06-13"
"浙江大学关于成立浙江大学区块链研究中心及负责人任命的通知  2018-06-12"
"关于做好2017－2018学年浙江大学国内访问学者结业考核的通知 2018-06-12"
"关于对浙江大学心理与行为科学系原系主任沈模卫同志离任经济责任进行审计的通告 2018-06-12"
"劳务派遣人员招聘启事（派遣至浙江大学公共管理学院） 2018-06-12"
"劳务派遣人员招聘启事（派遣至浙江大学能源工程学院） 2018-06-12"
"关于开展“学习新思想，千万师生同上一堂课”活动的通知 2018-06-12"
"关于召开2018年浙江大学优秀辅导员评选述职报告会的通知 2018-06-12"
"关于举办2018年浙江大学新上岗辅导员岗前培训的通知 2018-06-12"
"浙江大学2018年拟录用人员名单公示（十） 2018-06-12"
"关于推进“最多跑一次”改革开展办事服务宣讲活动的通知 2018-06-11"
"信息技术中心关于2018年端午节开放时间的通知 2018-06-11"
"校工会关于组织“健康玉泉•毅起走”活动 2018-06-11"
"劳务派遣人员招聘启示（派遣至浙江大学医学院徐贞仲老师课题组） 2018-06-11"
"安全保卫处关于2018届毕业生户口迁出的通知 2018-06-11"
"科研院转发科技部关于发布国家磁约束核聚变能发展研究专项2018年度项目申报指南的通知 2018-06-11"
"本科生院关于2018-2019学年秋冬学期本科课程选课安排的通知 2018-06-10"
"关于开展政策研究室副主任（副处职）岗位竞争上岗的通知 2018-06-08"
"关于申报2018年度上海航天科技创新基金项目的通知 2018-06-08"
"第五届浙江省大中小学生规范汉字书写大赛征稿通知 2018-06-08"
"关于申报2018年装备预研船舶重工联合基金一般基金的通知 2018-06-08"
"中共浙江大学委员会 浙江大学印发《浙江大学思想政治理论课建设方案》的通知 2018-06-08"
"浙江大学关于成立本科教学指导委员会的通知 2018-06-08"
"关于正式订购慧科搜索（WiseSearch）全媒体资讯智能检索数据库的通知 2018-06-08"
"中共浙江大学委员会办公室 浙江大学校长办公室印发《浙江大学推进“最多跑一次”改革、完善行政管理服务体系专项方案》的通知 2018-06-08"
"关于对浙江大学继续教育管理处原处长马银亮同志离任经济责任进行审计的通告 2018-06-07"
"关于浙江大学微软产品校园正版化平台正式上线运行的通知 2018-06-07"
"关于召开院级党组织书记工作例会的通知 2018-06-07"
"社科院关于申报国家社科基金冷门“绝学”和国别史等研究专项的通知 2018-06-07"
"关于2018年“三位一体”招生笔试有关事项的通知 2018-06-07"
"关于对浙江大学传媒与国际文化学院等六家单位开展内部巡察工作的公告 2018-06-07"
"浙江大学关于聘任光学仪器等国家工程技术研究中心负责人和技术委员会成员的通知 2018-06-07"
"浙江大学关于聘任传染病诊治国家重点实验室副主任和学术委员会成员的通知  2018-06-07"
"浙江大学大学生学科竞赛项目认定答辩安排 2018-06-07"
"关于公布浙江大学第八届研究生""五好""导学团队答辩评审会结果的通知 2018-06-06"
"关于召开浙江大学青年马克思主义者（学生骨干）培养学院成立十周年暨十期学员结业、十一期学员开班仪式的通知  2018-06-06"
"浙江大学关于调整浙江大学校园规划与基本建设委员会委员的通知 2018-06-06"
"关于召开校劳动人事争议调解委员会会议的通知（时间地点更新） 2018-06-06"
"信息技术中心关于紫金港东一东二教学楼临时关停校园无线网络的通知 2018-06-06"
"浙江大学关于聘任国家列车智能化工程技术研究中心负责人和技术委员会成员的通知 2018-06-06"
"外事处关于2018 APRU Sustainable Cities and Landscapes Conference的通知 2018-06-06"
"劳务派遣人员招聘启事（派遣至浙江大学农业与生物技术学院） 2018-06-06"
"劳务派遣人员招聘启事（派遣至浙江大学人文高等研究院） 2018-06-06"
"劳务派遣人员招聘启事（派遣至浙江大学国际联合学院（海宁国际校区）） 2018-06-06"
"劳务派遣人员招聘启示（派遣至浙江大学医学院白戈研究员课题组） 2018-06-06"
"浙江大学后勤集团小学教师岗位公开招聘拟录用人员公示 2018-06-06"
"欢迎参加浙大2018 DMB研究生国际组织志愿实习生短期项目选拔 2018-06-06"
"科研院关于征集《民参军技术与产品推荐目录 （2018年度）》信息的通知 2018-06-06"
"浙江大学关于同意李言蹊等340名本科学生转专业的公示 2018-06-06"
"关于2018年春夏学期研究生“三助”津贴发放工作的通知 2018-06-05"
"科研院关于申报装备预研航天科工联合基金项目（第二批）的通知 2018-06-05"
